study,n,h_m,l2,linf,order_l2,order_linf,dt_s,temporal_l2,semidiscrete_l2,temporal_to_spatial_ratio,internal_steps,kappa
semidiscrete,32,0.03125,3.2527964522552195e-05,6.48992980050167e-05,,,,,,,,
semidiscrete,64,0.015625,8.133467406269772e-06,1.6257137694930535e-05,1.9997381179837155,1.997129600769257,,,,,,
semidiscrete,128,0.0078125,2.0334591218650014e-06,4.066305803851478e-06,1.9999345347444906,1.999282651061814,,,,,,
semidiscrete,256,0.00390625,5.08370547409186e-07,1.0167028154928204e-06,1.9999836340102555,1.999820678365292,,,,,,
explicit_euler,32,0.03125,1.9324916497998205e-07,3.8556778303444617e-07,,,3.846153846153846e-05,4.671121315339239e-09,1.9792028629532126e-07,0.023601023436118897,26,
explicit_euler,64,0.015625,4.8311464137213644e-08,9.656473476393757e-08,2.0000246991910116,1.997416187850446,9.70873786407767e-06,1.180516604299074e-09,4.949198074151253e-08,0.023852684548324992,103,
explicit_euler,128,0.0078125,1.2077082951142037e-08,2.4150529354116657e-08,2.000093541923404,1.9994416043178893,2.4390243902439023e-06,2.966566924312626e-10,1.2373739643572227e-08,0.02397469972510425,410,
backward_euler,32,0.03125,2.025911710537156e-07,4.0420681379771395e-07,,,3.846153846153846e-05,4.670884758395594e-09,1.9792028629532126e-07,0.023599828222894057,26,
backward_euler,64,0.015625,5.067248064722863e-08,1.0128394345443326e-07,1.9992969405424237,1.9966881599384023,9.70873786407767e-06,1.1804999057670432e-09,4.949198074151253e-08,0.023852347149583203,103,
backward_euler,128,0.0078125,1.2670386792579303e-08,2.5336979403434157e-08,1.9997418903182331,1.9990890356042528,2.4390243902439023e-06,2.9664715131003357e-10,1.2373739643572227e-08,0.02397392864687698,410,
crank_nicolson,32,0.03125,1.979202574472635e-07,3.9488747383131795e-07,,,3.846153846153846e-05,2.912696429174196e-14,1.9792028629532126e-07,1.4716512812780078e-07,26,
crank_nicolson,64,0.015625,4.949198256494177e-08,9.89243456039901e-08,1.999652541638512,1.9970440832551741,9.70873786407767e-06,2.0092220917319085e-14,4.949198074151253e-08,4.0596922200905723e-07,103,
crank_nicolson,128,0.0078125,1.2373735568035426e-08,2.4743757043310666e-08,1.9999137268905338,1.999261043716075,2.4390243902439023e-06,2.9180422720908365e-14,1.2373739643572227e-08,2.358254138316761e-06,410,
upwind_transport,16,0.125,0.016530751475346054,0.03299179807806507,,,0.003125,,,,64,
upwind_transport,32,0.0625,0.008606939586303847,0.017148859407632333,0.9415800625031101,0.9439947839076981,0.00078125,,,,256,
upwind_transport,64,0.03125,0.00438841555794934,0.008771156690950965,0.9718001951106019,0.9672736092546997,0.0001953125,,,,1024,
upwind_transport,128,0.015625,0.0022152436555659136,0.004429997359947313,0.9862347570781618,0.9854612707387114,4.8828125e-05,,,,4096,
upwind_transport_with_diffusion,16,0.125,0.01505999214678807,0.030048718320944356,,,0.003125,,,,64,0.03
upwind_transport_with_diffusion,32,0.0625,0.007869123076914295,0.015679675436420126,0.936446239633904,0.9384077599460963,0.00078125,,,,256,0.03
upwind_transport_with_diffusion,64,0.03125,0.004020150033959641,0.008035397278873369,0.9689535284616441,0.9644544372945969,0.0001953125,,,,1024,0.03
upwind_transport_with_diffusion,128,0.015625,0.0020314538898451896,0.004062421638245661,0.9847367259950498,0.9840293695449374,4.8828125e-05,,,,4096,0.03
