method,dt_s,internal_steps,linear_residual,l2,linf,order_l2,order_linf
explicit_euler,0.015625,32,0.0,0.0001767774698256218,0.0003507678322218766,,
explicit_euler,0.0078125,64,0.0,8.818758377023411e-05,0.00017498478521327243,1.0032869626409882,1.003286962640428
explicit_euler,0.00390625,128,0.0,4.404370086062485e-05,8.739300030213837e-05,1.0016398487898222,1.0016398487930307
explicit_euler,0.001953125,256,0.0,2.200935214801751e-05,4.367170063734882e-05,1.0008190196640074,1.000819019645566
backward_euler,0.015625,32,2.9571255810822754e-16,0.00017518076525111344,0.0003475995970227963,,
backward_euler,0.0078125,64,2.936199461517863e-16,8.77884164027679e-05,0.00017419274383345673,0.9967418813297667,0.9967418812794366
backward_euler,0.00390625,128,2.6592795062522757e-16,4.3943909567527785e-05,8.719499104858919e-05,0.9983673620534069,0.9983673620397971
backward_euler,0.001953125,256,2.6285262606376196e-16,2.1984404360484266e-05,4.362219839770809e-05,0.999182782949927,0.9991827828711672
crank_nicolson,0.015625,32,2.845932360941749e-16,2.1925201961757037e-07,4.350472724290455e-07,,
crank_nicolson,0.0078125,64,2.6401963836616983e-16,5.481268317021573e-08,1.0876118072822294e-07,2.000008468166715,2.0000084546791173
crank_nicolson,0.00390625,128,2.659443772732623e-16,1.3703149977411048e-08,2.719025671282793e-08,2.0000021914582162,2.000002041147515
crank_nicolson,0.001953125,256,2.474862182744517e-16,3.4257893678976716e-09,6.797584273243729e-09,1.9999992109979925,1.9999957350947712
