problem,cache,l2_tolerance,method,attained,median_total_ms,dt_s,measured_l2
diffusion,cold,0.001,explicit_euler,True,0.2851454773917794,0.015625,0.0001767774698256218
diffusion,cold,0.001,backward_euler,True,0.6536245346069336,0.0625,0.0006913867342492773
diffusion,cold,0.001,crank_nicolson,True,0.6792704807594419,0.125,1.4039051417684023e-05
diffusion,cold,0.0001,explicit_euler,True,0.5372290033847094,0.0078125,8.818758377023411e-05
diffusion,cold,0.0001,backward_euler,True,1.4682500041089952,0.0078125,8.77884164027679e-05
diffusion,cold,0.0001,crank_nicolson,True,0.6792704807594419,0.125,1.4039051417684023e-05
diffusion,cold,1e-05,explicit_euler,False,,,
diffusion,cold,1e-05,backward_euler,False,,,
diffusion,cold,1e-05,crank_nicolson,True,0.7961870287545025,0.0625,3.50844416400541e-06
diffusion,warm,0.001,explicit_euler,True,0.2752499422058463,0.015625,0.0001767774698256218
diffusion,warm,0.001,backward_euler,True,0.4532080492936075,0.0625,0.0006913867342492773
diffusion,warm,0.001,crank_nicolson,True,0.4265829920768738,0.125,1.4039051417684023e-05
diffusion,warm,0.0001,explicit_euler,True,0.5406455020420253,0.0078125,8.818758377023411e-05
diffusion,warm,0.0001,backward_euler,True,1.2855625245720148,0.0078125,8.77884164027679e-05
diffusion,warm,0.0001,crank_nicolson,True,0.4265829920768738,0.125,1.4039051417684023e-05
diffusion,warm,1e-05,explicit_euler,False,,,
diffusion,warm,1e-05,backward_euler,False,,,
diffusion,warm,1e-05,crank_nicolson,True,0.4861879860982299,0.0625,3.50844416400541e-06
transport,cold,0.001,advection_explicit,True,1.3608959852717817,0.0078125,0.0006445444820947653
transport,cold,0.001,imex_euler,True,2.472103980835527,0.0078125,0.0005163249716041089
transport,cold,0.0001,advection_explicit,False,,,
transport,cold,0.0001,imex_euler,False,,,
transport,cold,1e-05,advection_explicit,False,,,
transport,cold,1e-05,imex_euler,False,,,
transport,warm,0.001,advection_explicit,True,1.3468124670907855,0.0078125,0.0006445444820947653
transport,warm,0.001,imex_euler,True,2.1385204745456576,0.0078125,0.0005163249716041089
transport,warm,0.0001,advection_explicit,False,,,
transport,warm,0.0001,imex_euler,False,,,
transport,warm,1e-05,advection_explicit,False,,,
transport,warm,1e-05,imex_euler,False,,,
