boundary,velocity,kappa,method,initial_mass,final_mass,cumulative_outward_flux,mass_balance_absolute,mass_balance_relative,minimum,peclet_x,peclet_y,regime
periodic,"[1.0, 0.0]",0.0,advection_explicit,0.9346200149392393,0.9346200149392394,0.0,2.220446049250313e-16,2.220446049250313e-16,0.00015829298206868403,,,pure_advection
periodic,"[1.0, 0.0]",0.0,imex_euler,0.9346200149392393,0.9346200149392394,0.0,2.220446049250313e-16,2.220446049250313e-16,0.00015829298206868403,,,pure_advection
periodic,"[1.0, 0.0]",0.05,advection_explicit,0.9346200149392393,0.9346200149392395,0.0,2.220446049250313e-16,2.220446049250313e-16,0.00015829298206868403,5.0,0.0,advection_diffusion
periodic,"[1.0, 0.0]",0.05,imex_euler,0.9346200149392393,0.9346200149392347,0.0,4.551914400963142e-15,4.551914400963142e-15,0.00015829298206868403,5.0,0.0,advection_diffusion
periodic,"[-1.0, 0.0]",0.0,advection_explicit,0.9346200149392393,0.9346200149392394,0.0,2.220446049250313e-16,2.220446049250313e-16,0.00015829298206868403,,,pure_advection
periodic,"[-1.0, 0.0]",0.0,imex_euler,0.9346200149392393,0.9346200149392394,0.0,2.220446049250313e-16,2.220446049250313e-16,0.00015829298206868403,,,pure_advection
periodic,"[-1.0, 0.0]",0.05,advection_explicit,0.9346200149392393,0.9346200149392395,0.0,2.220446049250313e-16,2.220446049250313e-16,0.00015829298206868403,5.0,0.0,advection_diffusion
periodic,"[-1.0, 0.0]",0.05,imex_euler,0.9346200149392393,0.9346200149392357,0.0,3.552713678800501e-15,3.552713678800501e-15,0.00015829298206868403,5.0,0.0,advection_diffusion
periodic,"[0.7, -0.4]",0.0,advection_explicit,0.9346200149392393,0.9346200149392393,0.0,0.0,0.0,0.00015829298206868403,,,pure_advection
periodic,"[0.7, -0.4]",0.0,imex_euler,0.9346200149392393,0.9346200149392393,0.0,0.0,0.0,0.00015829298206868403,,,pure_advection
periodic,"[0.7, -0.4]",0.05,advection_explicit,0.9346200149392393,0.9346200149392394,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.00015829298206868403,3.4999999999999996,2.2857142857142856,advection_diffusion
periodic,"[0.7, -0.4]",0.05,imex_euler,0.9346200149392393,0.9346200149392347,0.0,4.551914400963142e-15,4.551914400963142e-15,0.00015829298206868403,3.4999999999999996,2.2857142857142856,advection_diffusion
periodic,"[-0.7, 0.4]",0.0,advection_explicit,0.9346200149392393,0.9346200149392395,0.0,2.220446049250313e-16,2.220446049250313e-16,0.00015829298206868403,,,pure_advection
